created_at,text
2015-08-28 13:49:18,No baby duckling left behind!! &gt;&gt;&gt;http://t.co/M0Ww3UzQZs http://t.co/8ShDPRjfgx
2015-08-28 13:17:02,...at least it's Friday. &gt;&gt;&gt; http://t.co/U1b7bcHpwd http://t.co/ojXvqDHjju
2015-08-19 06:01:28,"This is Timmy, the stray that came in from the cold.. --- Anthony http://t.co/xJj6ToClqz"
2015-08-19 03:01:44,My crazy cat. --- Marilyn http://t.co/u2MWmsnRci
2015-08-19 01:02:11,"You don't ask for much, just a little quality downtime. &gt;&gt;&gt;http://t.co/t73rWgG24b http://t.co/MPkSMrPwbA"
2015-08-19 00:02:24,Princess Leah. --- Bill
2015-08-18 20:03:36,Just one of those days... &gt;&gt;&gt; http://t.co/THX9EN8QD6 http://t.co/XBy6rF72EN
2015-08-18 19:02:31,"""Ally was posing for me under my lamp. --- Jeanie"
2015-08-18 14:39:27,The purrfect mug for cat/coffee lovers &gt;&gt;&gt; http://t.co/a98XBtVvIv http://t.co/WN5M7iZIzK
2015-08-18 13:48:32,Zoe enjoyed #blackcatappreciationday! http://t.co/yeEFvcbaU6
2015-08-12 06:02:02,Cat storage. http://t.co/0rlVVb8TyX
2015-08-12 03:01:41,Lol! http://t.co/BWQCjsyC8w
2015-08-12 00:01:54,Ready to pounce! http://t.co/vP2cN9f2q5
2015-08-11 19:03:01,So sweet! http://t.co/59fgN7BmLH
2015-08-11 17:04:18,#meow http://t.co/3dAsH1nMYm
2015-08-11 14:05:03,"""Tanner."" - Sherrie http://t.co/Jt8x7pP1am"
2015-08-11 08:02:11,"""Teddy."" - Tom http://t.co/YNVyeMOdtp"
2015-08-11 06:01:31,"""My two twin kitties Sabrina ""Brina Brina"" that arrived here a couple months ago and Buster Beans."" --- Sharon http://t.co/a8iJDiLFiI"
2015-08-11 03:01:11,"""Belly love."" --- Brooke http://t.co/H5wk0VMdVz"
2015-08-11 00:01:45,"What a cutie, Sara! http://t.co/VOaxjgcWXS"
2015-08-10 17:56:37,"""Hello world I'm buddy."" --- Chris http://t.co/gY7UsqJCEC"
2015-08-06 19:03:41,my two kitties when they were younger. --- Keeley http://t.co/dq34TIv7Eg
2015-08-06 17:03:26,Beautiful Furbabies - Tanner and Tilly http://t.co/PyTp51f7Xz
2015-08-06 14:03:27,Princess. --- Bill http://t.co/E1OhbBC3UL
2015-08-06 13:33:32,"Kids, Rescued Puppies, &amp; Schools: Everybody Wins! &gt;&gt;&gt;http://t.co/HUPHl9cqoX http://t.co/r1ZeDNrL8m"
2015-08-06 09:01:45,Do You Know How to Protect Your Pets When the Worst Happens?&gt;&gt;http://t.co/lSC7VBQ5Yg http://t.co/AUXXuiPxBj
2015-08-06 08:01:48,Lovers. --- Carrie http://t.co/TG3nYEiEiA
2015-08-06 07:01:33,Dog Siblings Reunite And It’s Incredibly Heartwarming! &gt;&gt;&gt;http://t.co/l8DrEz8Fqh http://t.co/OfHCsFSeWX
2015-08-06 06:01:50,Cody. -- Michelle http://t.co/XBK1VBzlDh
2015-08-06 05:01:36,"This beautiful girl graced my life when she was already 6 years old...

Read here: http://t.co/9Tun9MvMqQ http://t.co/oYLGSP6VzX"
2015-08-06 04:01:20,"Clean, cool sterling silver and a winged purple paw of Swarovski crystals  &gt;&gt;&gt;http://t.co/BnHQfX8PZG http://t.co/Imaeg8CkZq"
2015-08-06 03:01:48,babes calling to say hello http://t.co/qKsOrVqwgN
2015-08-06 02:01:30,"The Coolest New Species of the 21st Century — I Want To Cuddle With #4!
&gt;&gt;&gt;http://t.co/Is8fkA5Rzw http://t.co/TlhmSVv3oc"
2015-08-06 01:02:59,Our crystal-studded earrings doll you up in paw-loving style  &gt;&gt;&gt;http://t.co/ECMQST466y http://t.co/6r8RkO1MBn
2015-08-06 00:01:53,One of the kittens got a little cheeky and started to sleep on the fridge! --- Keeley http://t.co/sMCB7QuwEc
2015-08-05 23:02:13,"I Love My Tripod Dog, But I Wish I Had Known This Before Adopting Him. &gt;&gt;&gt;http://t.co/FPlu0I6s3t http://t.co/0KAkBGKTxR"
2015-08-05 22:02:57,"I Wonder If I Can Hire These Kittens To DJ My Next Party…
&gt;&gt;&gt; http://t.co/UuwwMtC3Xz http://t.co/Vx2FqxKrIR"
2015-08-05 21:03:00,This Video Takes Cats At Play To A Whole New Level! &gt;&gt;http://t.co/J6wxMUepDo http://t.co/6rF7KBLZXk
2015-08-05 17:45:30,Just Wait ‘Til You See His Transformation! All Kale Chips Needs Now Is His Fur-Ever Home! &gt;&gt;&gt;http://t.co/U1Cl7E14uo http://t.co/6BL5OeIhuv
2015-08-05 17:04:12,My Kitty Zero. --- Donna http://t.co/4V2xwykjUq
2015-08-05 16:04:30,A fashion essential that answers the call of the wild &gt;&gt;&gt;http://t.co/WqUnJxXyws http://t.co/2LYDIxExog
2015-08-05 14:04:55,My boy enjoying the sun earlier today.. Looking good for 17 :) http://t.co/H5WuoCnsIM
2015-08-05 13:03:32,Bring on the mod! &gt;&gt;&gt;http://t.co/TtJ0kBPUml http://t.co/RVO0st0Zis
2015-08-05 08:02:48,Oh so adorable. --- Thomas http://t.co/jqT4BLJZuk
2015-08-05 07:02:05,Cats Taking Showers And Lovin’ It! &gt;&gt;&gt;http://t.co/oxdfWmbUM0 http://t.co/PBsNemyvLO
